2019/12/26 15:15:14 main.go:14: test
2019/12/28 14:26:30 bitflyer.go:55: action=doRequest endpoint=https://api.bitflyer.com/v1/me/getbalance
2019/12/28 14:26:30 bitflyer.go:90: url=me/getbalance resp=[{"currency_code":"JPY","amount":8.0,"available":8.000000000000},{"currency_code":"BTC","amount":0.00000443,"available":0.000004430000},{"currency_code":"BCH","amount":0.0,"available":0.0},{"currency_code":"ETH","amount":0.0,"available":0.0},{"currency_code":"ETC","amount":0.0,"available":0.0},{"currency_code":"LTC","amount":0.0,"available":0.0},{"currency_code":"MONA","amount":0.0,"available":0.0},{"currency_code":"LSK","amount":0.0,"available":0.0},{"currency_code":"XRP","amount":0.0,"available":0.0}]
2019/12/28 14:45:08 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 15:07:32 bitflyer.go:58: action=doRequest endpoint=https://api.bitflyer.com/v1/me/sendchildorder
2019/12/28 15:28:36 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:11:09 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:11:09 bitflyer.go:213: connecting to wss://ws.lightstream.bitflyer.com/json-rpc
2019/12/28 16:13:21 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:13:21.0520168Z 392545 7293.6 7298 0.01 0.01 75.90960235 88.7158059 7305.9 19.47922902 19.47922902}
2019/12/28 16:13:47 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:13:47.7142635Z 392547 7293.6 7298 0.01 0.01 75.90960235 88.7158059 7305.9 19.47922902 19.47922902}
2019/12/28 16:13:54 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:13:54.6778008Z 392549 7293.6 7298 0.01 0.01 76.64660235 88.6158059 7305.9 19.47922902 19.47922902}
2019/12/28 16:13:59 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:13:59.1293989Z 392550 7293.6 7298 0.01 0.01 76.64660235 88.7158059 7305.9 19.47922902 19.47922902}
2019/12/28 16:14:00 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:14:00.3552624Z 392552 7293.6 7310 0.01 0.01 76.64660235 88.5258059 7305.9 19.47922902 19.47922902}
2019/12/28 16:14:09 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:14:09.0930756Z 392553 7293.6 7310 0.01 0.01 76.64660235 88.5258059 7305.9 19.47922902 19.47922902}
2019/12/28 16:14:12 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:14:12.8479387Z 392554 7293.6 7310 0.01 0.01 76.53705113 88.5258059 7305.9 19.47922902 19.47922902}
2019/12/28 16:14:13 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:14:13.7290427Z 392555 7293.6 7310 0.01 0.01 76.53705113 87.7978059 7305.9 19.47922902 19.47922902}
2019/12/28 16:14:17 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:14:17.1523961Z 392558 7293.6 7310 0.01 0.01 76.64655372 88.4258059 7305.9 19.47922902 19.47922902}
2019/12/28 16:14:18 streamdata.go:15: action=StreamIngestionData, {BTC_USD 2019-12-28T07:14:18.6471477Z 392559 7293.6 7310 0.01 0.01 76.64655372 88.4828059 7305.9 19.47922902 19.47922902}
